                   Target           MJD              Blazar Flux          Blazar Flux Err          Check Star Flux      Check Star Flux Err
            HESSJ1943+213      57349.06               2.7438e+34               2.7798e+33               1.5501e+35               7.1382e+33
            HESSJ1943+213      57350.05               2.4342e+34               3.3629e+33               1.4007e+35               6.4504e+33
            HESSJ1943+213      57354.09               2.5024e+34               1.8438e+33               1.5359e+35               7.0728e+33
            HESSJ1943+213      57356.05               2.5489e+34               2.5823e+33               1.4268e+35               6.5704e+33
            HESSJ1943+213      57360.05               2.0434e+34               2.6348e+33               1.4668e+35               6.7544e+33
            HESSJ1943+213      57462.53               2.1201e+34               3.3195e+33               1.4803e+35               1.3634e+34
            HESSJ1943+213      57472.48               2.9536e+34               3.8084e+33               1.4803e+35               1.4997e+34
            HESSJ1943+213      57491.51               3.0086e+34               4.4334e+33               1.4803e+35               1.6361e+34
            HESSJ1943+213      57514.36               2.9536e+34               1.6322e+33               1.4940e+35               6.8800e+33
            HESSJ1943+213      57516.48               3.0645e+34               1.9757e+33               1.4940e+35               6.8800e+33
            HESSJ1943+213      57517.48               3.2089e+34               2.0688e+33               1.4803e+35               8.1803e+33
            HESSJ1943+213      57518.48               2.4119e+34               1.7771e+33               1.4668e+35               6.7544e+33
            HESSJ1943+213      57526.46               3.0364e+34               1.6779e+33               1.4940e+35               6.8800e+33
            HESSJ1943+213      57542.46               3.0929e+34               1.9940e+33               1.4803e+35               6.8169e+33
            HESSJ1943+213      57543.43               3.1795e+34               1.7570e+33               1.4940e+35               6.8800e+33
            HESSJ1943+213      57546.36               3.1215e+34               2.0124e+33               1.5079e+35               8.3324e+33
            HESSJ1943+213      57552.48               2.0061e+34               2.7715e+33               1.8128e+00               1.6696e+01
            HESSJ1943+213      57553.47               2.7187e+34               2.5039e+33               1.4400e+35               7.9574e+33
            HESSJ1943+213      57571.45               3.2386e+34               2.3862e+33               1.4940e+35               9.6320e+33
            HESSJ1943+213      57572.46               3.1504e+34               2.3212e+33               1.5079e+35               9.7211e+33
            HESSJ1943+213      57573.36               3.2386e+34               1.7897e+33               1.5218e+35               7.0079e+33
            HESSJ1943+213      57578.43               2.8997e+34               1.8695e+33               1.5359e+35               8.4873e+33
            HESSJ1943+213      57579.36               3.1795e+34               2.0498e+33               1.4940e+35               6.8800e+33
            HESSJ1943+213      57580.19               2.8997e+34               1.8695e+33               1.4668e+35               6.7544e+33
            HESSJ1943+213      57581.42               3.0929e+34               1.7091e+33               1.4940e+35               6.8800e+33
            HESSJ1943+213      57582.18               2.9536e+34               2.1762e+33               1.5079e+35               6.9437e+33
            HESSJ1943+213      57623.15               3.1795e+34               2.0498e+33               1.4668e+35               8.1053e+33
            HESSJ1943+213      57631.14               3.2386e+34               2.0879e+33               1.5359e+35               8.4873e+33
            HESSJ1943+213      57634.24               3.0645e+34               1.9757e+33               1.4803e+35               8.1803e+33
            HESSJ1943+213      57650.14               3.1215e+34               2.2999e+33               1.5218e+35               8.4095e+33
            HESSJ1943+213      57663.11               3.1215e+34               2.2999e+33               1.5079e+35               9.7211e+33
